series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S106,4,1,1991.0,2023.0,7.3,0.0007262274044225465,"['usp0004taw', 'usp0006h5m', 'usp000hsdc', 'us7000j5x2']"
S225,3,1,2017.0,2017.0,7.7,0.0007267175401722566,"['us20009jd6', 'us20009x42', 'us2000b2vq']"
S025,6,3,1977.0,1989.0,8.3,0.0008451324816011184,"['iscgem694739', 'usp0000qbn', 'usp0000u0r', 'usp00030zf', 'usp0003xax', 'usp0003xwe']"
S055,4,1,1983.0,2008.0,7.2,0.0009868685718897733,"['usp0001z5e', 'usp000fykt', 'usp000fzsd', 'usp000gazv']"
S036,6,1,1980.0,1985.0,7.0,0.0010054133833634678,"['usp00015we', 'usp0001ej2', 'usp0001eq4', 'usp0001fxr', 'usp0001h4g', 'usp0002gcy']"
S043,3,1,1982.0,1988.0,7.3,0.0010526671234844388,"['usp0001hze', 'usp0003da3', 'usp0003nxq']"
S168,3,1,2002.0,2015.0,6.6,0.0010563369993041008,"['usp000b923', 'usc000t4iq', 'usc000tcba']"
S125,3,1,1994.0,1994.0,7.8,0.00105888157210762,"['usp0006djk', 'usp0006k55', 'usp0006npt']"
S083,3,2,1987.0,1987.0,7.1,0.001066650345229097,"['usp00035ur', 'usp000363y', 'usp00039kg']"
S022,3,1,1977.0,1990.0,7.5,0.0012732831102551313,"['usp0000mtc', 'usp0002xpm', 'usp00049yk']"
S155,3,1,1999.0,2001.0,7.0,0.0012964640165755133,"['ak999fmohlzt', 'ak0008v7ic1n', 'ak001gswxc7']"
S016,3,1,1975.0,2018.0,7.7,0.0012990896770059307,"['hv19755025', 'hv19832953', 'hv70116556']"
S124,3,1,1994.0,2017.0,7.0,0.0014052519110403724,"['usp00069pg', 'usp000g4r4', 'us1000bj7t']"
S009,3,2,1974.0,1974.0,7.6,0.0017277311509820894,"['usp0000888', 'usp00008aq', 'usp00008qy']"
